timesec,boundary_all,boundary_1,beginning,ending,both,level,description,bar,similar_to_bar
24.845,1,0,0,0,1,2,"HC, 9-8 suspension",5'1,0
36.411,1,1,0,1,0,2,"HC, melodic",5'6,0
38.201,1,1,1,0,0,1,preparatory phrase,6,0
42.235,1,1,1,0,0,2,primary theme,10,0
46.152,1,0,0,0,1,3,phrase middle,14,0
49.188,1,0,0,1,0,2,HC,17,0
50.235,1,1,1,0,0,2,continuation of P,18,0
57.191,1,0,0,0,1,2,"HC, caesura fill",25,0
59.193,1,1,1,0,0,2,"primary theme, repetition presentation",27,10
63.085,1,0,0,0,1,3,phrase middle,31,14
66.088,1,0,0,0,1,2,evaded cadence,34,0
68.151,1,0,0,1,0,2,primary theme end,36,0
69.146,1,1,1,0,0,1,transition beginning,37,0
75.316,1,0,0,0,1,3,"phrase middle, HC",43,14
78.236,1,1,0,0,1,3,"phrase middle, HC",46,14
82.293,1,0,0,0,1,2,"HC, caesura fill - MC",50,25
86.741,1,1,1,0,0,1,secondary theme beginning,54,0
90.857,1,0,0,0,1,3,phrase middle,58,14
93.752,1,1,0,0,1,3,"continuation of S, falling fifths",61,0
105.998,1,1,1,0,0,2,"secondary theme, repetition",73,54
109.898,1,0,0,0,1,3,phrase middle,77,14
112.849,1,1,0,0,1,2,evaded cadence,80,34
120.878,1,0,0,0,1,1,"PAC, EEC",88,0
125.899,1,1,0,1,0,1,exposition ending,93,0
126.97,1,1,1,0,0,1,development beginning,94,0
131.101,1,0,0,0,1,3,phrase middle,98,14
135.181,1,1,0,0,1,3,"phrase middle, HC",102,14
139.222,1,0,0,0,1,3,"phrase middle, IAC",106,0
141.23,1,1,1,0,0,2,sequence beginning,108,94
143.196,1,0,0,0,1,3,sequential,110,0
146.142,1,0,0,0,1,3,phrase middle,113,14
149.097,1,1,0,0,1,3,sequential,116,110
151.061,1,0,0,0,1,3,sequential,118,110
156.102,1,1,0,0,1,2,new dev. Section,123,0
164.117,1,1,0,0,1,2,new dev. Section,131,0
168.116,1,0,0,0,1,3,phrase middle,135,14
172.193,1,1,0,0,1,2,new dev. Section,139,0
177.207,1,0,0,0,1,1,"development ending, fill",144,0
184.814,1,1,1,0,0,1,recapitulation beginning,152,10
188.762,1,0,0,0,1,3,phrase middle,156,14
191.79,1,0,0,1,0,2,HC,159,0
192.892,1,1,1,0,0,2,continuation of P,160,0
199.811,1,0,0,0,1,2,"HC, caesura fill",167,0
201.796,1,1,1,0,0,2,"primary theme, repetition presentation",169,27
205.848,1,0,0,0,1,3,phrase middle,173,14
208.831,1,0,0,0,1,3,evaded cadence,176,34
210.838,1,1,0,0,1,2,evaded cadence,178,34
212.816,1,0,0,0,1,3,evaded cadence,180,34
218.726,1,1,0,0,1,2,transition beginning,186,0
222.799,1,0,0,0,1,3,pedal point on D,190,0
227.235,1,1,1,0,0,2,modulation after rit.,194,0
233.521,1,0,0,0,1,3,modulation ,200,0
239.808,1,1,0,0,1,2,cadential ,206,0
244.761,1,0,0,1,0,1,transition end,211,0
247.188,1,1,1,0,0,1,secondary theme beginning,213,54
251.154,1,0,0,0,1,3,phrase middle,217,14
254.146,1,1,0,0,1,2,"continuation of S, falling fifths",220,61
262.437,1,1,0,0,1,3,"HC, 6-5 suspension",228,0
266.433,1,1,0,0,1,2,"secondary theme, repetition",232,73
270.423,1,0,0,0,1,3,phrase middle,236,14
273.46,1,1,0,0,1,2,"continuation of S, cadential",239,61
283.805,1,1,0,0,1,2,IAC,249,0
297.22,1,1,0,1,0,1,"PAC, EEC",262,0
301.752,1,0,0,0,1,3,phrase middle,266,14
311.6,1,1,0,1,0,2,PAC,276,0
317.503,1,0,0,1,0,2,final chords,282,0
321.736,1,1,0,1,0,1,final beat,286,0
,,,,, ,,,,
